"term","delta","method","estimate","conf_low","conf_high","contains_zero","pattern_name","pattern_type","violation_pattern_used","scale_instrument","nobs","se","theta_min","theta_max","baseline_estimate","baseline_conf_low","baseline_conf_high","crosses_baseline_sign","significant_at_level","error","delta_outcome_units","delta_share_of_residual_y_sd","residual_y_sd"
"log_providers",0,"ltz",0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,0.0141195526740508,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0,0,0.18303880861299
"log_providers",0.0018303880861299,"ltz",0.0315774649210396,-0.0196579597616201,0.0828128896036993,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,0.0261410031443425,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0018303880861299,0.01,0.18303880861299
"log_providers",0.0036607761722598,"ltz",0.0315774649210396,-0.0589915966085616,0.122146526450641,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,0.0462095539734395,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0036607761722598,0.02,0.18303880861299
"log_providers",0.0054911642583897,"ltz",0.0315774649210396,-0.100705937336839,0.163860867178918,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,0.0674927719597468,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0054911642583897,0.03,0.18303880861299
"log_providers",0.0073215523445196,"ltz",0.0315774649210396,-0.143103671902927,0.206258601745007,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,0.0891246666784847,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0073215523445196,0.04,0.18303880861299
"log_providers",0.0091519404306495,"ltz",0.0315774649210396,-0.185785268899489,0.248940198741568,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,0.110901391829165,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0091519404306495,0.05,0.18303880861299
"log_providers",0.0109823285167794,"ltz",0.0315774649210396,-0.228611070545805,0.291766000387884,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,0.132751692132702,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0109823285167794,0.06,0.18303880861299
"log_providers",0.0128127166029093,"ltz",0.0315774649210396,-0.271519957313884,0.334674887155963,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,0.154644383583432,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0128127166029093,0.07,0.18303880861299
"log_providers",0.0146431046890392,"ltz",0.0315774649210396,-0.314481024622501,0.37763595446458,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,0.176563698248134,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0146431046890392,0.08,0.18303880861299
"log_providers",0.0164734927751691,"ltz",0.0315774649210396,-0.357476986855938,0.420631916698017,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,0.198500816773058,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0164734927751691,0.09,0.18303880861299
"log_providers",0.018303880861299,"ltz",0.0315774649210396,-0.400497426911891,0.463652356753971,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,0.220450424212426,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.018303880861299,0.1,0.18303880861299
"log_providers",0.0201342689474289,"ltz",0.0315774649210396,-0.443535695599715,0.506690625441794,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,0.242409128059692,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0201342689474289,0.11,0.18303880861299
"log_providers",0.0219646570335588,"ltz",0.0315774649210396,-0.486587350451665,0.549742280293744,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,0.264374661708033,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0219646570335588,0.12,0.18303880861299
"log_providers",0.0237950451196887,"ltz",0.0315774649210396,-0.529649310921902,0.592804240763981,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,0.286345453421505,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0237950451196887,0.13,0.18303880861299
"log_providers",0.0256254332058186,"ltz",0.0315774649210396,-0.572719373891249,0.635874303733329,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,0.308320379139058,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0256254332058186,0.14,0.18303880861299
"log_providers",0.0274558212919485,"ltz",0.0315774649210396,-0.615795922172231,0.67895085201431,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,0.33029861374988,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0274558212919485,0.15,0.18303880861299
