"application","margin_share","design_name","subset_definition","density_threshold","n_S","share_S","G_S","varZ_S","residualized_instrument_sd_S","residualized_treatment_sd_S","residualized_treatment_sd_full","first_stage_coefficient","first_stage_se","first_stage_ci_low","first_stage_ci_high","first_stage_f_statistic_diagnostic_only","equivalence_margin","equivalence_level","equivalence_passed","minimum_n_passed","minimum_clusters_passed","residual_variation_passed","bpe_eligibility_passed","gamma_direct_effect_estimate","gamma_direct_effect_se","gamma_sampling_cov_scalar","final_prior_cov_scalar","transport_mode","transport_uncertainty_inflation","bpe_beta_estimate","bpe_beta_se","bpe_beta_conf_low","bpe_beta_conf_high","bpe_estimation_source","reason_if_not_applicable","bpe_fit_error"
"Lelkes, Sood, and Iyengar Table 1",0.05,"Bottom-decile population density subset","density <= 10th percentile",0.000631291136700312,11491,0.100093203139291,42,0.897167033192205,0.947189016612949,0.204040674444936,0.300563551046687,0.0408196300833352,0.0121589550523046,0.0169885160911768,0.0646507440754936,427.489234329638,0.0150281775523343,0.95,FALSE,TRUE,TRUE,TRUE,FALSE,0.00340021180129756,0.00334075428271372,1.11606391774701e-05,1.11606391774701e-05,"sampling",1,NA,NA,NA,NA,NA,"BPE eligibility failed for the proposed subset S (n_S=11491, G_S=42, varZ_S=0.897167, first-stage CI=[0.0169885, 0.0646507], equivalence margin=[-0.0150282, 0.0150282]).",NA
"Lelkes, Sood, and Iyengar Table 1",0.1,"Bottom-decile population density subset","density <= 10th percentile",0.000631291136700312,11491,0.100093203139291,42,0.897167033192205,0.947189016612949,0.204040674444936,0.300563551046687,0.0408196300833352,0.0121589550523046,0.0169885160911768,0.0646507440754936,427.489234329638,0.0300563551046687,0.95,FALSE,TRUE,TRUE,TRUE,FALSE,0.00340021180129756,0.00334075428271372,1.11606391774701e-05,1.11606391774701e-05,"sampling",1,NA,NA,NA,NA,"validation_only","BPE eligibility failed for the proposed subset S (n_S=11491, G_S=42, varZ_S=0.897167, first-stage CI=[0.0169885, 0.0646507], equivalence margin=[-0.0300564, 0.0300564]). 10% margin is reported for appendix robustness only and is not used to rescue main BPE eligibility.",NA
