"crop","treatment","pattern_name","baseline_iv_estimate","baseline_conf_low","baseline_conf_high","residual_y_sd","delta_share_0.05_interval","delta_share_0.10_interval","delta_share_0.20_interval","tipping_point_share","interpretation"
"maize","maize_yield","Uniform direct effect",184.452590793658,74.5001413832304,294.405040204086,2.66542098441256,"[-1064.018, 1432.923]","[-2305.215, 2674.120]","[-4791.240, 5160.145]",0.01,"Interval first includes zero at delta share 0.01."
"maize","maize_yield","Sparse/bare direct-effect pattern",184.452590793658,74.5001413832304,294.405040204086,2.66542098441256,"[-190.133, 559.038]","[-540.109, 909.014]","[-1252.102, 1621.008]",0.03,"Interval first includes zero at delta share 0.03."
"wheat","wheat_yield","Uniform direct effect",75.1305028819157,29.6703067811097,120.590698982722,2.66542098441256,"[-433.451, 583.712]","[-938.981, 1089.242]","[-1951.564, 2101.825]",0.01,"Interval first includes zero at delta share 0.01."
"wheat","wheat_yield","Sparse/bare direct-effect pattern",75.1305028819157,29.6703067811097,120.590698982722,2.66542098441256,"[-77.644, 227.905]","[-220.098, 370.359]","[-510.053, 660.314]",0.03,"Interval first includes zero at delta share 0.03."
