"crop","treatment","design_role","design_id","design_name","margin_share","subset_definition","design_variable","subset_threshold","threshold_label","sparsebare_threshold","n_S","share_S","G_S","varZ_S","residualized_instrument_sd_S","residualized_treatment_sd_S","residualized_treatment_sd_full","first_stage_coefficient","first_stage_se","first_stage_ci_low","first_stage_ci_high","first_stage_f_statistic_diagnostic_only","equivalence_margin","equivalence_level","equivalence_passed","minimum_n_passed","minimum_clusters_passed","residual_variation_passed","bpe_eligibility_passed","gamma_direct_effect_estimate","gamma_direct_effect_se","gamma_sampling_cov_scalar","final_prior_cov_scalar","transport_mode","transport_uncertainty_inflation","bpe_beta_estimate","bpe_beta_se","bpe_beta_conf_low","bpe_beta_conf_high","bpe_estimation_source","reason_if_not_applicable","bpe_fit_error"
"maize","maize_yield","primary","primary_top_decile_sparsebare","Top-decile sparse/bare land subset",0.05,"sparsebare >= 90th percentile (92.499)","sparsebare",92.4990012436174,"90th percentile",92.4990012436174,7218,0.100015242001413,662,0.232588233265014,0.482274023004571,0.00280235727979776,0.00570915996691837,-5.68617562226705e-07,3.38487120390144e-05,-6.69108740817623e-05,6.57736389573089e-05,6.91095037125414e-05,0.000285457998345919,0.95,TRUE,TRUE,TRUE,TRUE,TRUE,-0.000653849041615262,0.00368874138042713,1.36068129716754e-05,1.36068129716754e-05,"sampling",1,182.572581328494,57.0930326093361,70.6722936460242,294.472869010964,"spliv_method_bpe","",NA
"maize","maize_yield","primary","primary_top_decile_sparsebare","Top-decile sparse/bare land subset",0.1,"sparsebare >= 90th percentile (92.499)","sparsebare",92.4990012436174,"90th percentile",92.4990012436174,7218,0.100015242001413,662,0.232588233265014,0.482274023004571,0.00280235727979776,0.00570915996691837,-5.68617562226705e-07,3.38487120390144e-05,-6.69108740817623e-05,6.57736389573089e-05,6.91095037125414e-05,0.000570915996691837,0.95,TRUE,TRUE,TRUE,TRUE,TRUE,-0.000653849041615262,0.00368874138042713,1.36068129716754e-05,1.36068129716754e-05,"sampling",1,NA,NA,NA,NA,"validation_only"," 10% margin is reported for appendix robustness only and is not used to rescue main BPE eligibility.",NA
"wheat","wheat_yield","primary","primary_top_decile_sparsebare","Top-decile sparse/bare land subset",0.05,"sparsebare >= 90th percentile (92.499)","sparsebare",92.4990012436174,"90th percentile",92.4990012436174,7218,0.100015242001413,662,0.232588233265014,0.482274023004571,0.0106669435264395,0.00955194594062713,-0.000673494827321802,0.000375625924395725,-0.00140970811079699,6.27184561533847e-05,6.69785667220477,0.000477597297031356,0.95,FALSE,TRUE,TRUE,TRUE,FALSE,-0.000653849041615262,0.00368874138042713,1.36068129716754e-05,1.36068129716754e-05,"sampling",1,NA,NA,NA,NA,NA,"BPE eligibility failed for the proposed subset S (n_S=7218, G_S=662, varZ_S=0.232588, first-stage CI=[-0.00140971, 6.27185e-05], equivalence margin=[-0.000477597, 0.000477597]).",NA
"wheat","wheat_yield","primary","primary_top_decile_sparsebare","Top-decile sparse/bare land subset",0.1,"sparsebare >= 90th percentile (92.499)","sparsebare",92.4990012436174,"90th percentile",92.4990012436174,7218,0.100015242001413,662,0.232588233265014,0.482274023004571,0.0106669435264395,0.00955194594062713,-0.000673494827321802,0.000375625924395725,-0.00140970811079699,6.27184561533847e-05,6.69785667220477,0.000955194594062713,0.95,FALSE,TRUE,TRUE,TRUE,FALSE,-0.000653849041615262,0.00368874138042713,1.36068129716754e-05,1.36068129716754e-05,"sampling",1,NA,NA,NA,NA,"validation_only","BPE eligibility failed for the proposed subset S (n_S=7218, G_S=662, varZ_S=0.232588, first-stage CI=[-0.00140971, 6.27185e-05], equivalence margin=[-0.000955195, 0.000955195]). 10% margin is reported for appendix robustness only and is not used to rescue main BPE eligibility.",NA
