"term","delta","method","estimate","conf_low","conf_high","contains_zero","pattern_name","pattern_type","violation_pattern_used","scale_instrument","nobs","se","theta_min","theta_max","baseline_estimate","baseline_conf_low","baseline_conf_high","crosses_baseline_sign","significant_at_level","error","crop","treatment","delta_outcome_units","delta_share_of_residual_y_sd","residual_y_sd"
"maize_yield",0,"ltz",184.452590793658,74.5001413832304,294.405040204086,FALSE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,56.0992193110276,NA,NA,184.452590793658,74.5001413832304,294.405040204086,FALSE,TRUE,NA,"maize","maize_yield",0,0,2.66542098441256
"maize_yield",0.0266542098441256,"ltz",184.452590793658,-87.4906140211496,456.395795608466,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,138.749082615732,NA,NA,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.0266542098441256,0.01,2.66542098441256
"maize_yield",0.0533084196882512,"ltz",184.452590793658,-325.001826387836,693.907007975153,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,259.930499335705,NA,NA,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.0533084196882512,0.02,2.66542098441256
"maize_yield",0.0799626295323768,"ltz",184.452590793658,-569.776572494075,938.681754081392,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,384.817868714424,NA,NA,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.0799626295323768,0.03,2.66542098441256
"maize_yield",0.106616839376502,"ltz",184.452590793658,-816.500249928064,1185.40543151538,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,510.699609083183,NA,NA,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.106616839376502,0.04,2.66542098441256
"maize_yield",0.133271049220628,"ltz",184.452590793658,-1064.01794509065,1432.92312667797,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,636.986467982108,NA,NA,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.133271049220628,0.05,2.66542098441256
"maize_yield",0.159925259064754,"ltz",184.452590793658,-1311.93569425164,1680.84087583895,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,763.477439814515,NA,NA,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.159925259064754,0.06,2.66542098441256
"maize_yield",0.186579468908879,"ltz",184.452590793658,-1560.08294948563,1928.98813107295,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,890.085508733815,NA,NA,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.186579468908879,0.07,2.66542098441256
"maize_yield",0.213233678753005,"ltz",184.452590793658,-1808.37397817854,2177.27915976585,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,1016.7669328066,NA,NA,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.213233678753005,0.08,2.66542098441256
"maize_yield",0.23988788859713,"ltz",184.452590793658,-2056.76099736179,2425.66617894911,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,1143.4973325193,NA,NA,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.23988788859713,0.09,2.66542098441256
"maize_yield",0.266542098441256,"ltz",184.452590793658,-2305.21527711381,2674.12045870113,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,1270.2620494793,NA,NA,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.266542098441256,0.1,2.66542098441256
"maize_yield",0.293196308285382,"ltz",184.452590793658,-2553.71850836659,2922.62368995391,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,1397.05174215373,NA,NA,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.293196308285382,0.11,2.66542098441256
"maize_yield",0.319850518129507,"ltz",184.452590793658,-2802.25847241436,3171.16365400167,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,1523.86017639447,NA,NA,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.319850518129507,0.12,2.66542098441256
"maize_yield",0.346504727973633,"ltz",184.452590793658,-3050.8267036304,3419.73188521772,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,1650.68303292486,NA,NA,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.346504727973633,0.13,2.66542098441256
"maize_yield",0.373158937817758,"ltz",184.452590793658,-3299.41715157561,3668.32233316293,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,1777.51722472943,NA,NA,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.373158937817758,0.14,2.66542098441256
"maize_yield",0.399813147661884,"ltz",184.452590793658,-3548.02537721773,3916.93055880505,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,1904.3604869542,NA,NA,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.399813147661884,0.15,2.66542098441256
